Type,Collisions
Names,States,Time Spent,Number Of Collisions,List Size
IndividualBP_C_1,Fast Buy,1:37,5,7
IndividualBP_C_8,Fast Buy,1:12,8,3
IndividualBP_C_0,Fast Buy,2:4,13,7
IndividualBP_C_7,Explore,1:35,6,10
IndividualBP_C_3,Fast Buy,2:2,10,7
IndividualBP_C_5,Fast Buy,1:56,13,6
IndividualBP_C_6,Fast Buy,2:14,8,6
IndividualBP_C_11,Fast Buy,0:47,3,1
IndividualBP_C_4,Fast Buy,2:44,15,9
IndividualBP_C_10,Explore,1:36,8,3
IndividualBP_C_13,Explore,1:22,4,10
IndividualBP_C_9,Fast Buy,1:58,12,6
IndividualBP_C_12,Fast Buy,1:35,272,4
IndividualBP_C_15,Explore,1:33,13,10
IndividualBP_C_14,Explore,1:43,10,8
IndividualBP_C_18,Explore,1:33,11,1
IndividualBP_C_20,Fast Buy,1:15,10,3
IndividualBP_C_24,Fast Buy,0:56,2,2
IndividualBP_C_22,Explore,1:33,165,6
IndividualBP_C_23,Explore,1:41,11,3
IndividualBP_C_19,Fast Buy,2:21,19,7
IndividualBP_C_21,Explore,2:15,15,7
IndividualBP_C_16,Fast Buy,3:21,16,10
IndividualBP_C_27,Explore,1:35,11,7
IndividualBP_C_25,Fast Buy,2:2,17,6
IndividualBP_C_29,Fast Buy,1:9,9,1
