Type,Collisions
Names,States,Time Spent,Number Of Collisions,List Size
IndividualBP_C_2,Fast Buy,0:42,2,3
IndividualBP_C_0,Fast Buy,1:3,2,2
IndividualBP_C_5,Fast Buy,0:59,1,2
IndividualBP_C_1,Explore,1:35,4,3
IndividualBP_C_11,Fast Buy,0:31,0,1
IndividualBP_C_7,Explore,1:33,7,4
IndividualBP_C_9,Fast Buy,1:25,6,5
IndividualBP_C_6,Fast Buy,1:51,12,5
IndividualBP_C_3,Fast Buy,2:18,16,9
IndividualBP_C_10,Fast Buy,1:42,6,6
IndividualBP_C_16,Fast Buy,0:38,4,1
IndividualBP_C_4,Fast Buy,2:51,21,10
IndividualBP_C_18,Explore,1:33,9,7
