Names,States,Time Spent,Number Of Collisions,List Size
IndividualBP_C_2,Explore,0:09,0,1
IndividualBP_C_6,Explore,0:09,0,1
IndividualBP_C_0,Explore,0:11,0,1
IndividualBP_C_9,Explore,0:12,0,1
IndividualBP_C_5,Explore,0:12,0,1
IndividualBP_C_3,Explore,0:12,0,1
IndividualBP_C_1,Explore,0:13,0,1
IndividualBP_C_4,Explore,0:13,0,1
IndividualBP_C_10,Explore,0:13,0,1
IndividualBP_C_7,Explore,0:14,0,2
IndividualBP_C_8,Explore,0:14,0,2
IndividualBP_C_14,Explore,0:14,0,2
IndividualBP_C_11,Explore,0:14,0,2
IndividualBP_C_12,Explore,0:14,0,2
IndividualBP_C_13,Explore,0:14,0,2
IndividualBP_C_15,Explore,0:15,0,2
IndividualBP_C_17,Explore,0:15,0,2
IndividualBP_C_16,Explore,0:15,0,2
IndividualBP_C_22,Explore,0:17,0,2
IndividualBP_C_19,Explore,0:17,1,2
IndividualBP_C_18,Explore,0:18,1,2
IndividualBP_C_21,Explore,0:18,1,2
IndividualBP_C_20,Explore,0:19,1,2
IndividualBP_C_24,Explore,0:19,1,2
IndividualBP_C_23,Explore,0:19,1,2
IndividualBP_C_25,Explore,0:20,1,3
IndividualBP_C_31,Explore,0:20,1,3
IndividualBP_C_27,Explore,0:20,1,3
IndividualBP_C_26,Explore,0:21,1,3
IndividualBP_C_30,Explore,0:21,1,3
IndividualBP_C_28,Explore,0:21,1,3
IndividualBP_C_29,Explore,0:23,1,3
IndividualBP_C_36,Explore,0:23,1,3
IndividualBP_C_32,Explore,0:23,1,3
IndividualBP_C_38,Explore,0:24,1,3
IndividualBP_C_34,Explore,0:24,1,3
IndividualBP_C_33,Explore,0:25,1,4
IndividualBP_C_35,Explore,0:25,1,4
IndividualBP_C_39,Explore,0:25,1,4
IndividualBP_C_37,Explore,0:25,1,4
IndividualBP_C_40,Explore,0:26,1,4
IndividualBP_C_41,Explore,0:26,2,4
IndividualBP_C_43,Explore,0:26,2,4
IndividualBP_C_44,Explore,0:26,2,4
IndividualBP_C_46,Explore,0:28,2,4
IndividualBP_C_45,Explore,0:29,2,4
IndividualBP_C_49,Explore,0:29,2,5
IndividualBP_C_47,Explore,0:29,2,5
IndividualBP_C_42,Explore,0:29,2,5
IndividualBP_C_48,Explore,0:30,2,5
IndividualBP_C_53,Explore,0:30,2,5
IndividualBP_C_50,Explore,0:30,2,5
