Type,Collisions,,,,,,
Names,States,Time Spent,Number Of Collisions,List Size,,,
IndividualBP_C_0,Explore,0:15,3,10,,,
IndividualBP_C_1,Explore,0:15,5,9,,,
IndividualBP_C_3,Explore,0:18,5,6,,,
IndividualBP_C_6,Explore,0:19,7,4,,,
IndividualBP_C_2,Explore,0:20,10,13,,,
IndividualBP_C_8,Explore,0:22,12,10,,,
IndividualBP_C_7,Explore,0:23,9,9,,,
IndividualBP_C_9,Explore,0:24,20,2,,,
IndividualBP_C_12,Explore,0:25,43,11,,,
IndividualBP_C_11,Explore,0:26,7,17,,,
IndividualBP_C_15,Explore,0:27,13,9,,,
IndividualBP_C_16,Explore,0:27,15,12,,,
IndividualBP_C_21,Explore,0:27,5,20,,,
IndividualBP_C_23,Explore,0:28,14,9,,,
IndividualBP_C_20,Explore,0:30,20,12,,,
IndividualBP_C_25,Explore,0:30,13,16,,,
IndividualBP_C_29,Explore,0:30,21,5,,,
IndividualBP_C_32,Explore,0:31,28,2,,,
IndividualBP_C_34,Explore,0:31,18,14,,,
IndividualBP_C_35,Explore,0:32,6,17,,,
IndividualBP_C_38,Explore,0:33,24,5,,,
IndividualBP_C_40,Explore,0:33,15,18,0:25,14.22727273,10.45454545
IndividualBP_C_5,Fast Buy,0:09,5,3,,,
IndividualBP_C_17,Fast Buy,0:15,6,7,,,
IndividualBP_C_4,Fast Buy,0:17,8,2,,,
IndividualBP_C_10,Fast Buy,0:18,18,1,,,
IndividualBP_C_13,Fast Buy,0:18,17,2,,,
IndividualBP_C_14,Fast Buy,0:24,11,11,,,
IndividualBP_C_18,Fast Buy,0:25,12,7,,,
IndividualBP_C_19,Fast Buy,0:26,18,11,,,
IndividualBP_C_31,Fast Buy,0:30,17,13,,,
IndividualBP_C_28,Fast Buy,0:33,18,8,,,
IndividualBP_C_26,Fast Buy,0:35,23,13,,,
IndividualBP_C_24,Fast Buy,0:36,21,14,,,
IndividualBP_C_27,Fast Buy,0:36,31,14,,,
IndividualBP_C_36,Fast Buy,0:38,33,13,,,
IndividualBP_C_39,Fast Buy,0:42,26,20,,,
IndividualBP_C_22,Fast Buy,0:43,34,12,,,
IndividualBP_C_30,Fast Buy,0:46,41,13,,,
IndividualBP_C_33,Fast Buy,0:47,29,19,,,
IndividualBP_C_45,Fast Buy,0:55,31,16,0:31,21,10.47368421
Duration,1:49,,,,,,
