Type,Collisions,,,,,,
Names,States,Time Spent,Number Of Collisions,List Size,,,
IndividualBP_C_2,Explore,0:18,3,6,,,
IndividualBP_C_7,Explore,0:19,7,8,,,
IndividualBP_C_10,Explore,0:19,3,2,,,
IndividualBP_C_9,Explore,0:21,7,1,,,
IndividualBP_C_11,Explore,0:21,7,6,,,
IndividualBP_C_13,Explore,0:22,11,10,,,
IndividualBP_C_4,Explore,0:22,8,6,,,
IndividualBP_C_15,Explore,0:22,9,8,,,
IndividualBP_C_16,Explore,0:22,10,3,,,
IndividualBP_C_20,Explore,0:22,3,9,,,
IndividualBP_C_18,Explore,0:22,7,8,,,
IndividualBP_C_27,Explore,0:23,11,19,,,
IndividualBP_C_29,Explore,0:24,10,8,,,
IndividualBP_C_28,Explore,0:24,10,5,,,
IndividualBP_C_26,Explore,0:24,10,15,,,
IndividualBP_C_34,Explore,0:24,9,10,,,
IndividualBP_C_32,Explore,0:25,7,14,,,
IndividualBP_C_37,Explore,0:26,5,11,,,
IndividualBP_C_43,Explore,0:26,24,16,,,
IndividualBP_C_38,Explore,0:26,8,17,,,
IndividualBP_C_41,Explore,0:27,2,14,,,
IndividualBP_C_48,Explore,0:27,11,19,,,
IndividualBP_C_45,Explore,0:28,10,19,,,
IndividualBP_C_49,Explore,0:28,7,19,,,
IndividualBP_C_52,Explore,0:31,8,19,,,
IndividualBP_C_55,Explore,0:31,9,18,,,
IndividualBP_C_58,Explore,0:32,9,16,,,
IndividualBP_C_54,Explore,0:32,9,20,,,
IndividualBP_C_57,Explore,0:32,9,16,,,
IndividualBP_C_59,Explore,0:33,15,10,,,
IndividualBP_C_65,Explore,0:34,8,18,,,
IndividualBP_C_61,Explore,0:35,18,5,,,
IndividualBP_C_66,Explore,0:39,12,19,,,
IndividualBP_C_60,Explore,0:41,28,3,,,
IndividualBP_C_70,Explore,0:42,20,11,0:26,9.828571429,11.65714286
IndividualBP_C_5,Fast Buy,0:13,9,5,,,
IndividualBP_C_1,Fast Buy,0:13,8,2,,,
IndividualBP_C_6,Fast Buy,0:14,4,2,,,
IndividualBP_C_8,Fast Buy,0:21,8,7,,,
IndividualBP_C_3,Fast Buy,0:22,13,8,,,
IndividualBP_C_0,Fast Buy,0:22,10,4,,,
IndividualBP_C_12,Fast Buy,0:25,15,10,,,
IndividualBP_C_17,Fast Buy,0:26,6,10,,,
IndividualBP_C_21,Fast Buy,0:26,27,4,,,
IndividualBP_C_25,Fast Buy,0:29,14,12,,,
IndividualBP_C_24,Fast Buy,0:31,11,6,,,
IndividualBP_C_14,Fast Buy,0:31,12,9,,,
IndividualBP_C_31,Fast Buy,0:33,18,13,,,
IndividualBP_C_23,Fast Buy,0:35,23,7,,,
IndividualBP_C_22,Fast Buy,0:35,13,8,,,
IndividualBP_C_19,Fast Buy,0:35,15,11,,,
IndividualBP_C_39,Fast Buy,0:36,19,12,,,
IndividualBP_C_30,Fast Buy,0:37,24,7,,,
IndividualBP_C_33,Fast Buy,0:37,40,14,,,
IndividualBP_C_47,Fast Buy,0:38,18,12,,,
IndividualBP_C_36,Fast Buy,0:38,17,15,,,
IndividualBP_C_40,Fast Buy,0:39,11,18,,,
IndividualBP_C_42,Fast Buy,0:40,24,15,,,
IndividualBP_C_44,Fast Buy,0:40,16,14,,,
IndividualBP_C_35,Fast Buy,0:42,19,16,,,
IndividualBP_C_51,Fast Buy,0:43,14,19,,,
IndividualBP_C_50,Fast Buy,0:44,18,18,,,
IndividualBP_C_53,Fast Buy,0:48,26,19,,,
IndividualBP_C_46,Fast Buy,0:49,20,20,,,
IndividualBP_C_56,Fast Buy,0:53,23,20,,,
IndividualBP_C_64,Fast Buy,0:54,22,20,,,
IndividualBP_C_67,Fast Buy,0:55,25,20,0:34,16.9375,11.78125
Duration,2:52,,,,,,
